Key_Dataset,Key_Run,Key_Fold,Key_Scheme,Key_Scheme_options,Key_Scheme_version_ID,Date_time,Number_of_training_instances,Number_of_testing_instances,Number_correct,Number_incorrect,Number_unclassified,Percent_correct,Percent_incorrect,Percent_unclassified,Kappa_statistic,Mean_absolute_error,Root_mean_squared_error,Relative_absolute_error,Root_relative_squared_error,SF_prior_entropy,SF_scheme_entropy,SF_entropy_gain,SF_mean_prior_entropy,SF_mean_scheme_entropy,SF_mean_entropy_gain,KB_information,KB_mean_information,KB_relative_information,True_positive_rate,Num_true_positives,False_positive_rate,Num_false_positives,True_negative_rate,Num_true_negatives,False_negative_rate,Num_false_negatives,IR_precision,IR_recall,F_measure,Matthews_correlation,Area_under_ROC,Area_under_PRC,Weighted_avg_true_positive_rate,Weighted_avg_false_positive_rate,Weighted_avg_true_negative_rate,Weighted_avg_false_negative_rate,Weighted_avg_IR_precision,Weighted_avg_IR_recall,Weighted_avg_F_measure,Weighted_avg_matthews_correlation,Weighted_avg_area_under_ROC,Weighted_avg_area_under_PRC,Unweighted_macro_avg_F_measure,Unweighted_micro_avg_F_measure,Elapsed_Time_training,Elapsed_Time_testing,UserCPU_Time_training,UserCPU_Time_testing,UserCPU_Time_millis_training,UserCPU_Time_millis_testing,Serialized_Model_Size,Serialized_Train_Set_Size,Serialized_Test_Set_Size,Coverage_of_Test_Cases_By_Regions,Size_of_Predicted_Regions,Summary
vehicle,1,1,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.unsupervised.instance.RemovePercentage -P 95.0\" -W weka.classifiers.functions.MultilayerPerceptron -- -L 0.3 -M 0.2 -N 1000 -V 0 -S 0 -E 20 -H a',-4523450618538717400,2.01710230253E7,761.0,85.0,50.0,35.0,0.0,58.8235294117647,41.1764705882353,0.0,0.44876783398184183,0.1976900695911158,0.38825984540907027,52.74087338774615,89.68610042086691,169.91182365398825,163.04779447008866,6.864029183899589,1.9989626312233912,1.9182093467069254,0.08075328451646575,91.9228720377497,1.0814455533852905,4598.23836426257,0.6666666666666666,14.0,0.1875,12.0,0.8125,52.0,0.3333333333333333,7.0,0.5384615384615384,0.6666666666666666,0.5957446808510638,0.4485114692256429,0.8325892857142857,0.6000605052666778,0.5882352941176471,0.14032625870861165,0.8596737412913884,0.4117647058823529,0.6148383968972204,0.5882352941176471,0.5599806776013876,0.45883835070060797,0.8675759983480572,0.7139099558309201,0.5590238895110116,0.5882352941176471,0.173,0.0,0.171875,0.0,171.875,0.0,29707.0,139930.0,17574.0,80.0,40.294117647058826,?
vehicle,1,2,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.unsupervised.instance.RemovePercentage -P 95.0\" -W weka.classifiers.functions.MultilayerPerceptron -- -L 0.3 -M 0.2 -N 1000 -V 0 -S 0 -E 20 -H a',-4523450618538717400,2.01710230253E7,761.0,85.0,54.0,31.0,0.0,63.529411764705884,36.470588235294116,0.0,0.5140169679085208,0.19741914183833084,0.39695832723536073,52.66859375156406,91.69540662084188,169.91182365398825,176.81025671635666,-6.898433062368412,1.9989626312233912,2.0801206672512547,-0.08115803602786367,91.86170145881918,1.0807258995155198,4595.178441344943,0.6666666666666666,14.0,0.265625,17.0,0.734375,47.0,0.3333333333333333,7.0,0.45161290322580644,0.6666666666666666,0.5384615384615384,0.3593448325519655,0.7395833333333334,0.5041236117642732,0.6352941176470588,0.1211877379156791,0.878812262084321,0.36470588235294116,0.663405017921147,0.6352941176470588,0.6398280769797796,0.5263438578268914,0.845979943259355,0.6776338618251979,0.6408810487757856,0.6352941176470588,0.2,0.001,0.203125,0.0,203.125,0.0,29707.0,139930.0,17574.0,78.82352941176471,38.23529411764706,?
vehicle,1,3,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.unsupervised.instance.RemovePercentage -P 95.0\" -W weka.classifiers.functions.MultilayerPerceptron -- -L 0.3 -M 0.2 -N 1000 -V 0 -S 0 -E 20 -H a',-4523450618538717400,2.01710230253E7,761.0,85.0,53.0,32.0,0.0,62.35294117647059,37.64705882352941,0.0,0.4988022848719366,0.20564731211709933,0.40159053624004515,54.86375149409969,92.76542394783807,169.91182365398825,276.1290061247807,-106.21718247079244,1.9989626312233912,3.2485765426444786,-1.2496139114210876,88.98632935121049,1.0468979923671822,4451.344311235222,0.42857142857142855,9.0,0.171875,11.0,0.828125,53.0,0.5714285714285714,12.0,0.45,0.42857142857142855,0.4390243902439024,0.26100437346342104,0.6726190476190477,0.4372097319557809,0.6235294117647059,0.1258073421676363,0.8741926578323638,0.3764705882352941,0.6505429864253395,0.6235294117647059,0.6199591862195567,0.5074108210162293,0.7952822667528551,0.6701508107686421,0.6235759733373731,0.6235294117647059,0.187,0.001,0.1875,0.0,187.5,0.0,29707.0,139930.0,17574.0,72.94117647058823,39.411764705882355,?
vehicle,1,4,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.unsupervised.instance.RemovePercentage -P 95.0\" -W weka.classifiers.functions.MultilayerPerceptron -- -L 0.3 -M 0.2 -N 1000 -V 0 -S 0 -E 20 -H a',-4523450618538717400,2.01710230253E7,761.0,85.0,54.0,31.0,0.0,63.529411764705884,36.470588235294116,0.0,0.5135683957910282,0.20665168037672343,0.3671994408340168,55.13170253142325,84.82125132056329,169.91182365398825,124.39471059807187,45.51711305591638,1.9989626312233912,1.4634671835067279,0.5354954477166634,90.9218695505793,1.069669053536227,4548.165428798381,0.38095238095238093,8.0,0.1875,12.0,0.8125,52.0,0.6190476190476191,13.0,0.4,0.38095238095238093,0.3902439024390244,0.1966989481173608,0.71875,0.46673636392551715,0.6352941176470588,0.12242781728075844,0.8775721827192415,0.36470588235294116,0.6408683473389355,0.6352941176470588,0.6371690563818316,0.5151788632759984,0.8552723012281834,0.7157443726924319,0.6387289804575065,0.6352941176470588,0.18,0.001,0.171875,0.0,171.875,0.0,29707.0,139930.0,17574.0,91.76470588235294,47.64705882352941,?
vehicle,1,5,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.unsupervised.instance.RemovePercentage -P 95.0\" -W weka.classifiers.functions.MultilayerPerceptron -- -L 0.3 -M 0.2 -N 1000 -V 0 -S 0 -E 20 -H a',-4523450618538717400,2.01710230253E7,761.0,85.0,47.0,38.0,0.0,55.294117647058826,44.705882352941174,0.0,0.40537555228276884,0.22948680605995778,0.44139433786582555,61.22378634192364,101.95990489134337,169.91182365398825,300.0821818003317,-130.17035814634343,1.9989626312233912,3.530378609415667,-1.5314159781922756,78.6324933744274,0.9250881573462046,3933.4165664822694,0.14285714285714285,3.0,0.09375,6.0,0.90625,58.0,0.8571428571428571,18.0,0.3333333333333333,0.14285714285714285,0.2,0.06883609896924185,0.6614583333333334,0.35424844048297827,0.5529411764705883,0.14632487610428785,0.8536751238957121,0.4470588235294118,0.5415032679738562,0.5529411764705883,0.5250279435445676,0.4006879143273927,0.7889078772534656,0.556374307873579,0.5237117552334943,0.5529411764705883,0.18,0.001,0.171875,0.0,171.875,0.0,29707.0,139930.0,17574.0,68.23529411764706,35.0,?
vehicle,1,6,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.unsupervised.instance.RemovePercentage -P 95.0\" -W weka.classifiers.functions.MultilayerPerceptron -- -L 0.3 -M 0.2 -N 1000 -V 0 -S 0 -E 20 -H a',-4523450618538717400,2.01710230253E7,761.0,85.0,55.0,30.0,0.0,64.70588235294117,35.294117647058826,0.0,0.5309050772626932,0.1830002496746864,0.3907462802953773,48.82184025723218,90.26045455905579,169.91182365398825,235.4552258172258,-65.54340216323754,1.9989626312233912,2.7700614802026564,-0.7710988489792653,96.75726582411072,1.1383207744013026,4840.068221006698,0.5238095238095238,11.0,0.21875,14.0,0.78125,50.0,0.47619047619047616,10.0,0.44,0.5238095238095238,0.4782608695652174,0.28876103703224315,0.7247023809523809,0.5020174378200664,0.6470588235294118,0.11538147310206133,0.8846185268979389,0.35294117647058826,0.6549243697478991,0.6470588235294118,0.6309264656317533,0.5322258439771032,0.8249221611721611,0.6756920652886735,0.6328448156999724,0.6470588235294118,0.188,0.0,0.1875,0.0,187.5,0.0,29707.0,139930.0,17574.0,77.6470588235294,33.529411764705884,?
vehicle,1,7,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.unsupervised.instance.RemovePercentage -P 95.0\" -W weka.classifiers.functions.MultilayerPerceptron -- -L 0.3 -M 0.2 -N 1000 -V 0 -S 0 -E 20 -H a',-4523450618538717400,2.01710230253E7,762.0,84.0,54.0,30.0,0.0,64.28571428571429,35.714285714285715,0.0,0.5238994898923106,0.17689372619813395,0.36100436179499945,47.201981954062006,83.40871744826035,167.83080791339668,206.13771921614628,-38.3069113027496,1.9979858084928177,2.4540204668588843,-0.45603465836606666,99.34055232673714,1.1826256229373469,4969.014566414026,0.2857142857142857,6.0,0.1111111111111111,7.0,0.8888888888888888,56.0,0.7142857142857143,15.0,0.46153846153846156,0.2857142857142857,0.35294117647058826,0.20904087148595385,0.7210884353741497,0.5387855294183617,0.6428571428571429,0.1197250777895939,0.880274922210406,0.35714285714285715,0.6102589540089541,0.6428571428571429,0.6162899268234426,0.5079055540663932,0.8542145642376058,0.7481751966891614,0.6192430460556315,0.6428571428571429,0.167,0.001,0.15625,0.0,156.25,0.0,29707.0,140111.0,17393.0,79.76190476190476,39.583333333333336,?
vehicle,1,8,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.unsupervised.instance.RemovePercentage -P 95.0\" -W weka.classifiers.functions.MultilayerPerceptron -- -L 0.3 -M 0.2 -N 1000 -V 0 -S 0 -E 20 -H a',-4523450618538717400,2.01710230253E7,762.0,84.0,52.0,32.0,0.0,61.904761904761905,38.095238095238095,0.0,0.49090909090909096,0.1949616139736548,0.3875177037932021,52.00161705192383,89.49293478164304,168.00077550806066,197.17738111119579,-29.17660560313513,2.0000092322388174,2.3473497751332832,-0.3473405428944658,92.92112177642467,1.1062038306717223,4648.421677131199,0.6363636363636364,14.0,0.3064516129032258,19.0,0.6935483870967742,43.0,0.36363636363636365,8.0,0.42424242424242425,0.6363636363636364,0.5090909090909091,0.2970046649107037,0.6642228739002932,0.43796064811385294,0.6190476190476191,0.1311043906810036,0.8688956093189963,0.38095238095238093,0.6346371882086168,0.6190476190476191,0.6127888371790811,0.49564024848636085,0.8144050743057079,0.6694672804914183,0.6171811927909489,0.6190476190476191,0.181,0.001,0.171875,0.0,171.875,0.0,29707.0,140111.0,17393.0,77.38095238095238,40.773809523809526,?
vehicle,1,9,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.unsupervised.instance.RemovePercentage -P 95.0\" -W weka.classifiers.functions.MultilayerPerceptron -- -L 0.3 -M 0.2 -N 1000 -V 0 -S 0 -E 20 -H a',-4523450618538717400,2.01710230253E7,762.0,84.0,60.0,24.0,0.0,71.42857142857143,28.571428571428573,0.0,0.6193353474320242,0.1700869642223901,0.35181642107725813,45.36686478299364,81.24811774633157,168.00077550806066,168.77547282875494,-0.7746973206942869,2.0000092322388174,2.0092318193899397,-0.009222587151122463,103.9154153090055,1.2370882774881606,5198.416246767986,0.4090909090909091,9.0,0.0967741935483871,6.0,0.9032258064516129,56.0,0.5909090909090909,13.0,0.6,0.4090909090909091,0.4864864864864865,0.35853556251175106,0.7221407624633431,0.49272809282735514,0.7142857142857143,0.09652617767537122,0.9034738223246288,0.2857142857142857,0.7187457279562542,0.7142857142857143,0.7081330719204473,0.619267504850676,0.8613082665862044,0.7103624376777588,0.7133305771179526,0.7142857142857143,0.17,0.0,0.171875,0.0,171.875,0.0,29707.0,140111.0,17393.0,83.33333333333333,39.583333333333336,?
vehicle,1,10,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.unsupervised.instance.RemovePercentage -P 95.0\" -W weka.classifiers.functions.MultilayerPerceptron -- -L 0.3 -M 0.2 -N 1000 -V 0 -S 0 -E 20 -H a',-4523450618538717400,2.01710230253E7,762.0,84.0,47.0,37.0,0.0,55.95238095238095,44.04761904761905,0.0,0.41402714932126694,0.23024566180580863,0.43892916886334465,61.420479937119815,101.3798327585004,167.95134620333454,288.5815050693024,-120.63015886596787,1.999420788134935,3.435494107967886,-1.436073319832951,77.81033968797986,0.9263135677140459,3892.38474112417,0.6666666666666666,14.0,0.3968253968253968,25.0,0.6031746031746031,38.0,0.3333333333333333,7.0,0.358974358974359,0.6666666666666666,0.4666666666666667,0.23428783200183817,0.6817838246409675,0.41690650073002516,0.5595238095238095,0.14660938300051202,0.853390616999488,0.44047619047619047,0.6043956043956045,0.5595238095238095,0.5344293272864702,0.42870320724581984,0.7525492107685368,0.575431417220341,0.5388888888888889,0.5595238095238095,0.176,0.001,0.1875,0.0,187.5,0.0,29707.0,140111.0,17393.0,69.04761904761905,37.20238095238095,?
